lat,lon
21.42749,105.4662
21.42749,105.46654
21.42749,105.46688
21.42749,105.46722
21.42749,105.46756
21.42749,105.4679
21.42749,105.46824
21.42749,105.46858
21.42749,105.46892
21.42749,105.46926
21.42749,105.46961
21.42749,105.46995
21.42749,105.47029
21.42749,105.47063
21.42749,105.47097
21.42749,105.47131
21.42749,105.47165
21.42749,105.47199
21.42749,105.47233
21.42749,105.47267
21.42749,105.47301
21.42749,105.47335
21.42749,105.47438
21.42749,105.47472
21.42749,105.47574
21.42749,105.47676
21.42749,105.4771
21.42749,105.47744
21.42749,105.47949
21.42749,105.48119
21.42749,105.48187
21.42749,105.48221
21.42749,105.48255
21.42749,105.48289
21.42749,105.48357
21.42749,105.48528
21.42749,105.48664
21.42749,105.48732
21.42749,105.48834
21.42749,105.48902
21.42749,105.48937
21.42749,105.48971
21.42749,105.49005
21.42749,105.49039
21.42749,105.49073
21.42749,105.49107
21.42749,105.49141
21.42749,105.49175
21.42749,105.49209
21.42749,105.49243
21.42749,105.49277
21.42749,105.49414
21.42749,105.49584
21.42749,105.50504
21.42749,105.50538
21.42749,105.50606
21.42749,105.5064
21.42749,105.50674
21.42749,105.50708
21.42749,105.50742
21.42749,105.50776
21.42749,105.50844
21.42749,105.50879
21.42749,105.50913
21.42749,105.50947
21.42749,105.50981
21.42749,105.51015
21.42749,105.51049
21.42749,105.51083
21.42749,105.51117
21.42749,105.51151
21.42749,105.51185
21.42749,105.51219
21.42749,105.51253
21.42749,105.51287
21.42749,105.51321
21.42749,105.51424
21.42749,105.51526
21.42749,105.5156
21.42749,105.51594
21.42749,105.51628
21.42749,105.51662
21.42749,105.51696
21.42749,105.51798
21.42749,105.51832
21.42749,105.51867
21.42749,105.51901
21.42749,105.51935
21.42749,105.52003
21.42749,105.52037
21.42749,105.52071
21.42749,105.52207
21.42749,105.52412
21.42749,105.5248
21.42749,105.52514
21.42749,105.52548
21.42749,105.52582
21.42749,105.52616
21.42749,105.5265
21.42749,105.52684
21.42749,105.52718
21.42749,105.52752
21.42749,105.52786
21.42749,105.5282
21.42749,105.52855
21.42749,105.53059
21.42749,105.53093
21.42749,105.53127
21.42749,105.53161
21.42749,105.53195
21.42749,105.53229
21.42749,105.53263
21.42749,105.53297
21.42749,105.53332
21.42749,105.53366
21.42749,105.534
21.42749,105.53638
21.42749,105.53672
21.42749,105.53808
21.42749,105.53877
21.42749,105.53911
21.42749,105.53945
21.42749,105.53979
21.42749,105.54013
21.42749,105.54047
21.42749,105.54081
21.42749,105.54115
21.42749,105.54149
21.42749,105.54183
21.42749,105.54217
21.42749,105.54251
21.42749,105.54285
21.42749,105.5432
21.42749,105.54354
21.42749,105.54388
21.42749,105.54422
21.42749,105.54456
21.42749,105.5449
21.42749,105.54524
21.42749,105.54558
21.42749,105.54592
21.42749,105.54626
21.42749,105.5466
21.42749,105.54694
21.42749,105.54728
21.42749,105.54762
21.42749,105.54796
21.42749,105.54831
21.42749,105.54865
21.42749,105.54899
21.42749,105.54933
21.42749,105.54967
21.42749,105.55001
21.42749,105.55035
21.42749,105.55069
21.42749,105.55103
21.42749,105.55137
21.42749,105.55171
21.42749,105.55205
21.42749,105.55239
21.42749,105.55273
21.42749,105.55308
21.42749,105.55342
21.42749,105.55376
21.42749,105.5541
21.42749,105.55444
21.42749,105.55478
21.42749,105.55512
21.42749,105.55546
21.42749,105.5558
21.42749,105.55614
21.42749,105.55648
21.42749,105.55682
21.42749,105.55716
21.42749,105.5575
21.42749,105.55785
21.42749,105.55819
21.42749,105.55853
21.42749,105.55887
21.42749,105.55921
21.42749,105.55955
21.42749,105.55989
21.42749,105.56023
21.42749,105.56057
21.42749,105.56091
21.42749,105.56125
21.42749,105.56193
21.42749,105.56227
21.42749,105.56261
21.42749,105.56296
21.42749,105.5633
21.42749,105.56364
21.42749,105.56398
21.42749,105.56432
21.42749,105.56466
21.42749,105.565
21.42749,105.56534
21.42749,105.56568
21.42749,105.56602
21.42749,105.56636
21.42749,105.56738
21.42749,105.56773
21.42749,105.56807
21.42749,105.56841
21.42749,105.56875
21.42749,105.56909
21.42749,105.56943
21.42749,105.57011
21.42749,105.57079
21.42749,105.57113
21.42749,105.57147
21.42749,105.57181
21.42749,105.57215
21.42749,105.57249
21.42749,105.57284
21.42749,105.57318
21.42749,105.57386
21.42749,105.57454
21.42749,105.57488
21.42749,105.57556
21.42749,105.5759
21.42749,105.57624
21.42749,105.57658
21.42749,105.57692
21.42749,105.57761
21.42749,105.57795
21.42749,105.57829
21.42749,105.57863
21.42749,105.57999
21.42749,105.58101
21.42749,105.58135
21.42749,105.58169
21.42749,105.58203
21.42749,105.58238
21.42749,105.58272
21.42749,105.58306
21.42749,105.58442
21.42749,105.58476
21.42749,105.5851
21.42749,105.58544
21.42749,105.58919
21.42749,105.58953
21.42749,105.58987
21.42749,105.59021
21.42749,105.59055
21.42749,105.59089
21.42749,105.59123
21.42749,105.59157
21.42749,105.59191
21.42749,105.59226
21.42749,105.5926
21.42749,105.59294
21.42749,105.59328
21.42749,105.59362
21.42749,105.59396
21.42749,105.5943
21.42749,105.59464
21.42749,105.59498
21.42749,105.59532
21.42749,105.59566
21.42749,105.59668
21.42749,105.59702
21.42749,105.59737
21.42749,105.59771
21.42749,105.59805
21.42749,105.59839
21.42749,105.59873
21.42749,105.59941
21.42749,105.59975
21.42749,105.60282
21.42749,105.60827
21.42749,105.60861
21.42749,105.60895
21.42749,105.60963
21.42749,105.60997
21.42749,105.61031
21.42749,105.61065
21.42749,105.61099
21.42749,105.61133
21.42749,105.61167
21.42749,105.61202
21.42749,105.77521
21.42749,105.77555
21.42749,105.77589
21.42749,105.77623
21.42749,105.77657
21.42749,105.77691
21.42749,105.77896
21.42749,105.78134
21.42749,105.78338
21.42749,105.78373
21.42749,105.78407
21.42749,105.78441
21.42749,105.78475
21.42749,105.78509
21.42749,105.78577
21.42749,105.78611
21.42749,105.78952
21.42749,105.7902
21.42749,105.79088
21.42749,105.79156
21.42749,105.7919
21.42749,105.79224
21.42749,105.79906
21.42749,105.7994
21.42749,105.79974
21.42749,105.80008
21.42749,105.80042
21.42749,105.80076
21.42749,105.8011
21.42749,105.80144
21.42749,105.80178
21.42749,105.80212
21.42749,105.80246
21.42749,105.8028
21.42749,105.80314
21.42749,105.80349
21.42749,105.80383
21.42749,105.80417
21.42749,105.80451
21.42749,105.80485
21.42749,105.80519
21.42749,105.80553
21.42749,105.80587
21.42749,105.80621
21.42749,105.80655
21.42749,105.80689
21.42749,105.80723
21.42749,105.80757
21.42749,105.80791
21.42749,105.8086
21.42749,105.80894
21.42749,105.80928
21.42749,105.80996
21.42749,105.8103
21.42749,105.81064
21.42749,105.81132
21.42749,105.81166
21.42749,105.812
21.42749,105.81234
21.42749,105.81609
21.42749,105.81643
21.42749,105.81677
21.42749,105.81745
21.42749,105.82256
21.42749,105.82291
21.42749,105.82325
21.42749,105.82529
21.42749,105.82563
21.42749,105.82767
21.42749,105.82802
21.42749,105.82836
21.42749,105.82938
21.42749,105.82972
21.42749,105.83006
21.42749,105.83244
21.42749,105.83279
21.42749,105.83313
21.42749,105.83415
21.42749,105.83449
21.42749,105.83517
21.42749,105.83551
21.42749,105.83585
21.42749,105.83619
21.42749,105.83653
21.42749,105.83687
21.42749,105.83755
21.42749,105.8379
21.42749,105.83824
21.42749,105.83858
21.42749,105.8396
21.42749,105.83994
21.42749,105.84028
21.42749,105.84096
21.42749,105.8413
21.42749,105.84164
21.42749,105.84198
21.42749,105.84232
21.42749,105.84267
21.42749,105.84301
21.42749,105.84369
21.42749,105.84403
21.42749,105.84437
21.42749,105.84471
21.42749,105.84505
21.42749,105.84539
21.42749,105.84573
21.42749,105.84607
21.42749,105.84641
21.42749,105.84675
21.42749,105.84709
21.42749,105.84743
21.42749,105.84778
21.42749,105.84812
21.42749,105.84846
21.42749,105.8488
21.42749,105.84914
21.42749,105.84948
21.42749,105.84982
21.42749,105.85016
21.42749,105.8505
21.42749,105.85118
21.42749,105.85186
21.42749,105.8522
21.42749,105.85255
21.42749,105.85289
21.42749,105.85323
21.42749,105.85357
21.42749,105.85391
21.42749,105.85493
21.42749,105.85595
21.42749,105.85629
21.42749,105.85663
21.42749,105.85868
21.42749,105.86106
21.42749,105.8614
21.42749,105.86174
21.42749,105.86208
21.42749,105.86243
21.42749,105.86277
21.42749,105.86311
21.42749,105.86345
21.42749,105.86379
21.42749,105.86413
21.42749,105.86447
21.42749,105.86549
21.42749,105.86583
21.42749,105.86617
21.42749,105.86651
21.42749,105.86685
21.42749,105.8672
21.42749,105.86754
21.42749,105.86788
21.42749,105.86822
21.42749,105.86856
21.42749,105.8689
21.42749,105.86924
21.42749,105.86958
21.42749,105.86992
21.42749,105.87026
21.42749,105.8706
21.42749,105.87094
21.42749,105.87128
21.42749,105.87162
21.42749,105.87196
21.42749,105.87231
21.42749,105.87265
21.42749,105.87299
21.42749,105.87333
21.42749,105.87367
21.42749,105.87401
21.42749,105.87435
21.42749,105.87469
21.42749,105.87503
21.42749,105.87537
21.42749,105.87571
21.42749,105.87605
21.42749,105.87639
21.42749,105.87673
21.42749,105.87708
21.42749,105.87742
21.42749,105.87776
21.42749,105.8781
21.42749,105.87844
21.42749,105.87878
21.42749,105.87912
21.42749,105.87946
21.42749,105.8798
21.42749,105.88014
21.42749,105.88048
21.42749,105.88082
21.42749,105.88116
21.42749,105.8815
21.42749,105.88185
21.42749,105.88219
21.42749,105.88253
21.42749,105.88287
21.42749,105.88321
21.42749,105.88355
21.42749,105.88389
21.42749,105.88423
21.42749,105.88457
21.42749,105.88491
21.42749,105.88525
21.42749,105.88559
21.42749,105.88593
21.42749,105.88627
21.42749,105.88661
21.42749,105.88696
21.42749,105.8873
21.42749,105.88764
21.42749,105.88798
21.42749,105.88832
21.42749,105.88866
21.42749,105.889
21.42749,105.88934
21.42749,105.88968
21.42749,105.89002
21.42749,105.89036
21.42749,105.8907
21.42749,105.89104
21.42749,105.89138
21.42749,105.89173
21.42749,105.89207
21.42749,105.89241
21.42749,105.89275
21.42749,105.89309
21.42749,105.89343
21.42749,105.89377
21.42749,105.89411
21.42749,105.89445
21.42749,105.89479
21.42749,105.89513
21.42749,105.89547
21.42749,105.89581
21.42749,105.89615
21.42749,105.89649
21.42749,105.89684
21.42749,105.89718
21.42749,105.89752
21.42749,105.89786
21.42749,105.8982
21.42749,105.89854
21.42749,105.89888
21.42749,105.89922
21.42749,105.89956
21.42749,105.8999
21.42749,105.90024
21.42749,105.90058
21.42749,105.90092
21.42749,105.90126
21.42749,105.90161
21.42749,105.90195
21.42749,105.90229
21.42749,105.90263
21.42749,105.90297
21.42749,105.90331
21.42749,105.90365
21.42749,105.90399
21.42749,105.90467
21.42749,105.90501
21.42749,105.90535
21.42749,105.90569
21.42749,105.90603
21.42749,105.90638
21.42749,105.90672
21.42749,105.90706
21.42749,105.9074
21.42749,105.90774
21.42749,105.90808
21.42749,105.90944
21.42749,105.90978
21.42749,105.91012
21.42749,105.91046
21.42749,105.9108
21.42749,105.91387
21.42749,105.91626
21.42749,105.9166
21.42749,105.91694
21.42749,105.91728
21.42749,105.9183
21.42749,105.91864
21.42749,105.91898
21.42749,105.91966
21.42749,105.92
21.42749,105.92034
21.42749,105.92068
21.42749,105.92102
21.42749,105.92137
21.42749,105.92171
21.42749,105.92205
21.42749,105.92239
21.42749,105.92273
21.42749,105.92307
21.42749,105.92341
21.42749,105.92375
21.42749,105.92409
21.42749,105.92443
21.42749,105.92477
21.42749,105.92511
21.42749,105.92545
21.42749,105.92579
21.42749,105.92648
21.42749,105.92682
21.42749,105.92716
21.42749,105.9275
21.42749,105.92784
21.42749,105.92818
21.42749,105.92852
21.42749,105.92886
21.42749,105.9292
21.42749,105.92954
21.42749,105.92988
21.42749,105.93022
21.42749,105.93056
21.42749,105.93091
21.42749,105.93125
21.42749,105.93159
21.42749,105.93193
21.42749,105.93227
21.42749,105.93295
21.42749,105.93329
21.42749,105.93363
21.42749,105.93397
21.42749,105.93431
21.42749,105.93465
21.42749,105.93567
21.42749,105.93602
21.42749,105.93636
21.42749,105.9367
21.42749,105.93704
21.42749,105.93738
21.42749,105.93772
21.42749,105.93806
21.42749,105.9384
21.42749,105.93874
21.42749,105.93908
21.42749,105.93942
21.42749,105.93976
21.42749,105.9401
21.42749,105.94044
21.42749,105.94079
21.42749,105.94113
21.42749,105.94147
21.42749,105.94215
21.42749,105.94249
21.42749,105.94283
21.42749,105.94317
21.42749,105.94351
21.42749,105.94385
21.42749,105.94419
21.42749,105.94453
21.42749,105.94487
21.42749,105.94555
21.42749,105.9459
21.42749,105.94624
21.42749,105.94658
21.42749,105.94726
21.42749,105.9476
21.42749,105.94794
21.42749,105.94828
21.42749,105.94862
21.42749,105.94896
21.42749,105.9493
21.42749,105.94964
21.42749,105.94998
21.42749,105.95203
21.42749,105.95237
21.42749,105.95271
21.42749,105.95305
21.42749,105.95339
21.42749,105.95373
21.42749,105.95407
21.42749,105.95441
21.42749,105.95646
21.42749,105.9568
21.42749,105.95748
21.42749,105.95782
21.42749,105.95986
21.42749,105.9602
21.42749,105.96055
21.42749,105.96089
21.42749,105.96123
21.42749,105.96157
21.42749,105.96191
21.42749,105.96225
21.42749,105.96259
21.42749,105.96293
21.42749,105.96327
21.42749,105.96361
21.42749,105.96395
21.42749,105.96429
21.42749,105.96463
21.42749,105.96566
21.42749,105.9694
21.42749,105.96974
21.42749,105.97008
21.42749,105.97077
21.42749,105.97111
21.42749,105.97145
21.42749,105.97179
21.42749,105.97213
21.42749,105.97247
21.42749,105.97281
21.42749,105.97315
21.42749,105.97349
21.42749,105.97383
21.42749,105.97417
21.42749,105.97451
21.42749,105.97485
21.42749,105.9752
21.42749,105.97554
21.42749,105.97588
21.42749,105.97622
21.42749,105.97656
21.42749,105.9769
21.42749,105.97724
21.42749,105.97758
21.42749,105.97792
21.42749,105.97826
21.42749,105.9786
21.42749,105.97894
21.42749,105.97928
21.42749,105.97962
21.42749,105.97996
21.42749,105.98031
21.42749,105.98065
21.42749,105.98099
21.42749,105.98133
21.42749,105.98167
21.42749,105.98201
21.42749,105.98235
21.42749,105.98269
21.42749,105.98303
21.42749,105.98337
21.42749,105.98371
21.42749,105.98405
21.42749,105.98508
21.42749,105.98542
21.42749,105.98576
21.42749,105.9861
21.42749,105.98644
21.42749,105.98678
21.42749,105.98712
21.42749,105.98746
21.42749,105.9878
21.42749,105.98814
21.42749,105.98848
21.42749,105.98882
21.42749,105.98916
21.42749,105.9895
21.42749,105.98985
21.42749,105.99019
21.42749,105.99053
21.42749,105.99121
21.42749,105.99155
21.42749,105.99223
21.42749,105.99257
21.42749,105.99291
21.42749,105.99325
21.42749,105.99359
21.42749,105.99393
21.42749,105.99427
21.42749,105.99461
21.42749,105.99496
21.42749,105.9953
21.42749,105.99564
21.42749,105.99598
21.42749,105.99632
21.42749,105.99666
21.42749,105.997
21.42749,105.99734
21.42749,105.99768
21.42749,105.99802
21.42749,105.99836
21.42749,105.9987
21.42749,105.99904
21.42749,105.99938
21.42749,105.99973
21.42749,106.00007
21.42749,106.00041
21.42749,106.00075
21.42749,106.00109
21.42749,106.00143
21.42749,106.00177
21.42749,106.00211
21.42749,106.00245
21.42749,106.00279
21.42749,106.00313
21.42749,106.00347
21.42749,106.00415
21.42749,106.00654
21.42749,106.00722
21.42749,106.00756
21.42749,106.0079
21.42749,106.00824
21.42749,106.00858
21.42749,106.00892
21.42749,106.00926
21.42749,106.00961
21.42749,106.00995
21.42749,106.01029
21.42749,106.01063
21.42749,106.01097
21.42749,106.01131
21.42749,106.01165
21.42749,106.01199
21.42749,106.01233
21.42749,106.01267
21.42749,106.01301
21.42749,106.01335
21.42749,106.01369
21.42749,106.01438
21.42749,106.01642
21.42749,106.01676
21.42749,106.0171
21.42749,106.01744
21.42749,106.01778
21.42749,106.01812
21.42749,106.01983
21.42749,106.02017
21.42749,106.02187
21.42749,106.02221
21.42749,106.02255
21.42749,106.02289
21.42749,106.02323
21.42749,106.02357
21.42749,106.02391
21.42749,106.02426
21.42749,106.0246
21.42749,106.02494
21.42749,106.02528
21.42749,106.02562
21.42749,106.02596
21.42749,106.0263
21.42749,106.02664
21.42749,106.02698
21.42749,106.02732
21.42749,106.02766
21.42749,106.028
21.42749,106.02834
21.42749,106.02868
21.42749,106.02937
21.42749,106.02971
21.42749,106.03039
21.42749,106.03073
21.42749,106.03107
21.42749,106.03141
21.42749,106.03175
21.42749,106.03209
21.42749,106.03243
21.42749,106.03277
21.42749,106.03311
21.42749,106.03345
21.42749,106.03379
21.42749,106.03482
21.42749,106.03516
21.42749,106.0355
21.42749,106.03584
21.42749,106.03618
21.42749,106.03652
21.42749,106.03686
21.42749,106.0372
21.42749,106.03788
21.42749,106.03856
21.42749,106.03891
21.42749,106.03925
21.42749,106.04061
21.42749,106.04163
21.42749,106.04197
21.42749,106.04231
21.42749,106.04776
21.42749,106.0481
21.42749,106.04844
21.42749,106.04879
21.42749,106.04913
21.42749,106.04947
21.42749,106.04981
21.42749,106.05015
21.42749,106.05049
21.42749,106.05083
21.42749,106.05117
